name,abbreviation,april_pop,as_of_date
Alabama,AL,21154,1/31/2020
Alaska,AK,4997,12/31/2019
Arizona,AZ,41674,4/15/2020
Arkansas,AR,18181,2/29/2020
California,CA,118466,4/15/2020
Colorado,CO,17412,3/31/2020
Connecticut,CT,12218,4/1/2020
Delaware,DE,4624,4/15/2020
Florida,FL,91828,4/15/2020
Georgia,GA,54723,4/1/2020
Hawaii,HI,4631,3/31/2020
Idaho,ID,7641,4/15/2020
Illinois,IL,36904,3/31/2020
Indiana,IN,26891,3/1/2020
Iowa,IA,8401,4/15/2020
Kansas,KS,9890,4/15/2020
Kentucky,KY,11782,4/15/2020
Louisiana,LA,31609,12/31/2019
Maine,ME,2019,4/15/2020
Maryland,MD,18800,12/31/2019
Massachusetts,MA,8173,4/1/2020
Michigan,MI,37687,4/11/2020
Minnesota,MN,8637,4/20/2020
Mississippi,MS,18669,3/31/2020
Missouri,MO,26000,4/1/2020
Montana,MT,17355,6/30/2018
Nebraska,NE,5597,4/15/2020
Nevada,NV,12451,12/31/2019
New Hampshire,NH,2433,4/1/2020
New Jersey,NJ,18093,4/15/2020
New Mexico,NM,6588,4/15/2020
New York,NY,42784,4/1/2020
North Carolina,NC,33790,4/15/2020
North Dakota,ND,1244,4/15/2020
Ohio,OH,48765,3/19/2020
Oklahoma,OK,24408,4/13/2020
Oregon,OR,14458,4/1/2020
Pennsylvania,PA,44098,4/15/2020
Rhode Island,RI,2289,4/15/2020
South Carolina,SC,17772,4/20/2020
South Dakota,SD,3713,4/15/2020
Tennessee,TN,21150,4/15/2020
Texas,TX,140124,3/31/2020
Utah,UT,6131,4/21/2020
Vermont,VT,1406,4/15/2020
Virginia,VA,28559,4/14/2020
Washington,WA,16950,3/31/2020
West Virginia,WV,5148,4/15/2020
Wisconsin,WI,22594,4/17/2020
Wyoming,WY,2486,4/13/2020
Federal,US,172349,4/16/2020
